|DR_model|C_model|n_clusters|s_score
0|PCA|KMEANS|2|0.7225921961500877
0|PCA|KMEANS|3|0.7613472198757394
0|PCA|KMEANS|4|0.7369800288909805
0|PCA|KMEANS|5|0.5467320515978348
0|PCA|KMEANS|6|0.5570961422085844
0|PCA|KMEANS|7|0.5708772880172752
0|PCA|KMEANS|8|0.5772720519992214
0|PCA|KMEANS|9|0.5740770613313262
0|PCA|KMEANS|10|0.5063224118182631
0|PCA|KMEANS|11|0.5109102334249296
0|PCA|KMEANS|12|0.5114822878465938
0|PCA|KMEANS|13|0.438881733277067
0|PCA|KMEANS|14|0.43779485046359695
0|PCA|KMEANS|15|0.4522630526454814
0|PCA|KMEANS|16|0.4542702812563365
0|PCA|KMEANS|17|0.4537702133064491
0|PCA|KMEANS|18|0.4535708046028568
0|PCA|KMEANS|19|0.46677240860871516
0|PCA|KMEANS|20|0.3887088929319656
0|PCA|KMEANS|21|0.3769697200686612
0|PCA|KMEANS|22|0.37928231441607024
0|PCA|KMEANS|23|0.36222619367278003
0|PCA|KMEANS|24|0.3764206395945125
0|PCA|KMEANS|25|0.3741729973659385
0|PCA|KMEANS|26|0.36559594200643614
0|PCA|KMEANS|27|0.36685880300275703
0|PCA|KMEANS|28|0.3662616432734805
0|PCA|KMEANS|29|0.3703700076921264
0|PCA|KMEANS|30|0.3648050540851286
0|PCA|AGLO|2|0.7206160035392818
0|PCA|AGLO|3|0.7427442055326878
0|PCA|AGLO|4|0.7350657360458458
0|PCA|AGLO|5|0.5427132175560754
0|PCA|AGLO|6|0.545145827770677
0|PCA|AGLO|7|0.5670349969104577
0|PCA|AGLO|8|0.5657215313782032
0|PCA|AGLO|9|0.561879444587794
0|PCA|AGLO|10|0.41878543370497856
0|PCA|AGLO|11|0.4153229535429232
0|PCA|AGLO|12|0.4195059766623146
0|PCA|AGLO|13|0.41767306554816414
0|PCA|AGLO|14|0.42315294945869425
0|PCA|AGLO|15|0.4224847564467769
0|PCA|AGLO|16|0.43303295808152653
0|PCA|AGLO|17|0.43045648301748135
0|PCA|AGLO|18|0.43366876455282466
0|PCA|AGLO|19|0.43037534458503723
0|PCA|AGLO|20|0.4016834372354429
0|PCA|AGLO|21|0.4045035010938447
0|PCA|AGLO|22|0.40574203535948844
0|PCA|AGLO|23|0.39288445665053123
0|PCA|AGLO|24|0.3936832943045334
0|PCA|AGLO|25|0.39341959655337005
0|PCA|AGLO|26|0.39468224308382266
0|PCA|AGLO|27|0.31265384652251854
0|PCA|AGLO|28|0.30877296595452675
0|PCA|AGLO|29|0.3067151395121323
0|PCA|AGLO|30|0.3027257889861228
0|PCA|GMIXT|2|0.5988391921366779
0|PCA|GMIXT|3|0.6078134143525749
0|PCA|GMIXT|4|0.559297102296869
0|PCA|GMIXT|5|0.3772257890221849
0|PCA|GMIXT|6|0.3740385982223613
0|PCA|GMIXT|7|0.3333724593887327
0|PCA|GMIXT|8|0.3967059471451932
0|PCA|GMIXT|9|0.4004653012559125
0|PCA|GMIXT|10|0.3907662245733128
0|PCA|GMIXT|11|0.4082365488309621
0|PCA|GMIXT|12|0.41961320484217257
0|PCA|GMIXT|13|0.4028356632283185
0|PCA|GMIXT|14|0.26575525063051947
0|PCA|GMIXT|15|0.32775163250636435
0|PCA|GMIXT|16|0.3172450467396355
0|PCA|GMIXT|17|0.33350071129204745
0|PCA|GMIXT|18|0.35899385745152673
0|PCA|GMIXT|19|0.3648050235489351
0|PCA|GMIXT|20|0.3743580815008328
0|PCA|GMIXT|21|0.4011117528769467
0|PCA|GMIXT|22|0.3463310289341258
0|PCA|GMIXT|23|0.34262070131394595
0|PCA|GMIXT|24|0.34097386197490004
0|PCA|GMIXT|25|0.3421347352062219
0|PCA|GMIXT|26|0.34673117339598186
0|PCA|GMIXT|27|0.358256307240348
0|PCA|GMIXT|28|0.35769000836316733
0|PCA|GMIXT|29|0.36002483291659626
0|PCA|GMIXT|30|0.31500213121238557
0|TSNE|KMEANS|2|0.3561852168338734
0|TSNE|KMEANS|3|0.38661608160313554
0|TSNE|KMEANS|4|0.37252161924675514
0|TSNE|KMEANS|5|0.3560271572046999
0|TSNE|KMEANS|6|0.3779880436730089
0|TSNE|KMEANS|7|0.3831965870301907
0|TSNE|KMEANS|8|0.390569266744064
0|TSNE|KMEANS|9|0.3871917741629333
0|TSNE|KMEANS|10|0.4000811819468604
0|TSNE|KMEANS|11|0.3994668761042986
0|TSNE|KMEANS|12|0.391235848598246
0|TSNE|KMEANS|13|0.3877068475364619
0|TSNE|KMEANS|14|0.38705965542782284
0|TSNE|KMEANS|15|0.3760303885773702
0|TSNE|KMEANS|16|0.37874798174679236
0|TSNE|KMEANS|17|0.3901814591581588
0|TSNE|KMEANS|18|0.3894897395413649
0|TSNE|KMEANS|19|0.3813784000949148
0|TSNE|KMEANS|20|0.3705239376318433
0|TSNE|KMEANS|21|0.38295096910195964
0|TSNE|KMEANS|22|0.3755646145532031
0|TSNE|KMEANS|23|0.3736222395664138
0|TSNE|KMEANS|24|0.37791807750151013
0|TSNE|KMEANS|25|0.37636920053590545
0|TSNE|KMEANS|26|0.37086344335654203
0|TSNE|KMEANS|27|0.37263276581573884
0|TSNE|KMEANS|28|0.3700273808747497
0|TSNE|KMEANS|29|0.36499502573167136
0|TSNE|KMEANS|30|0.36566162344698405
0|TSNE|AGLO|2|0.29219376239905454
0|TSNE|AGLO|3|0.3010239527095543
0|TSNE|AGLO|4|0.3027814946206748
0|TSNE|AGLO|5|0.31663491922239484
0|TSNE|AGLO|6|0.31107513847694507
0|TSNE|AGLO|7|0.33483147499210636
0|TSNE|AGLO|8|0.3380407824891779
0|TSNE|AGLO|9|0.34228765527900007
0|TSNE|AGLO|10|0.3511402992905215
0|TSNE|AGLO|11|0.35019300557997046
0|TSNE|AGLO|12|0.3489032019758486
0|TSNE|AGLO|13|0.35085120967031447
0|TSNE|AGLO|14|0.34141635261535896
0|TSNE|AGLO|15|0.3350019609918204
0|TSNE|AGLO|16|0.3344026928529969
0|TSNE|AGLO|17|0.34094935680538374
0|TSNE|AGLO|18|0.33575462344389284
0|TSNE|AGLO|19|0.3300650211521256
0|TSNE|AGLO|20|0.32924805446600997
0|TSNE|AGLO|21|0.30989753385188423
0|TSNE|AGLO|22|0.31138105860555826
0|TSNE|AGLO|23|0.3056663259601117
0|TSNE|AGLO|24|0.30569592793712147
0|TSNE|AGLO|25|0.308848332361289
0|TSNE|AGLO|26|0.30612171715447073
0|TSNE|AGLO|27|0.31092686105193074
0|TSNE|AGLO|28|0.3097273070712719
0|TSNE|AGLO|29|0.3060774338022859
0|TSNE|AGLO|30|0.3033541210951756
0|TSNE|GMIXT|2|0.3562408533478742
0|TSNE|GMIXT|3|0.3864099581268186
0|TSNE|GMIXT|4|0.37029308276735445
0|TSNE|GMIXT|5|0.3497750377778855
0|TSNE|GMIXT|6|0.374452879645672
0|TSNE|GMIXT|7|0.3498501791827787
0|TSNE|GMIXT|8|0.3809508400815886
0|TSNE|GMIXT|9|0.37760678920052926
0|TSNE|GMIXT|10|0.3931161781638612
0|TSNE|GMIXT|11|0.3909721387546787
0|TSNE|GMIXT|12|0.3912762286616748
0|TSNE|GMIXT|13|0.3777198371907803
0|TSNE|GMIXT|14|0.38758592647670587
0|TSNE|GMIXT|15|0.36986246582397725
0|TSNE|GMIXT|16|0.3581562556001345
0|TSNE|GMIXT|17|0.36008944440335683
0|TSNE|GMIXT|18|0.3486403263543245
0|TSNE|GMIXT|19|0.34389373973016185
0|TSNE|GMIXT|20|0.36075018217250815
0|TSNE|GMIXT|21|0.3711491556608413
0|TSNE|GMIXT|22|0.36352660643614954
0|TSNE|GMIXT|23|0.35846438003309333
0|TSNE|GMIXT|24|0.34605944623116086
0|TSNE|GMIXT|25|0.34824641491095243
0|TSNE|GMIXT|26|0.3486609857662923
0|TSNE|GMIXT|27|0.3544470830485744
0|TSNE|GMIXT|28|0.35154995978184544
0|TSNE|GMIXT|29|0.35069654683295565
0|TSNE|GMIXT|30|0.3500642164292974
0|PCA_TSNE|KMEANS|2|0.3816830862148212
0|PCA_TSNE|KMEANS|3|0.39496622559833233
0|PCA_TSNE|KMEANS|4|0.43000955158737125
0|PCA_TSNE|KMEANS|5|0.4615945107395103
0|PCA_TSNE|KMEANS|6|0.4964510211766592
0|PCA_TSNE|KMEANS|7|0.5073891174365343
0|PCA_TSNE|KMEANS|8|0.5345725936942154
0|PCA_TSNE|KMEANS|9|0.564383507084894
0|PCA_TSNE|KMEANS|10|0.5684395987180512
0|PCA_TSNE|KMEANS|11|0.5696759158567006
0|PCA_TSNE|KMEANS|12|0.5784079582577187
0|PCA_TSNE|KMEANS|13|0.5824138097991601
0|PCA_TSNE|KMEANS|14|0.5747856103824671
0|PCA_TSNE|KMEANS|15|0.5824707956897733
0|PCA_TSNE|KMEANS|16|0.5677053906945106
0|PCA_TSNE|KMEANS|17|0.5990213517825921
0|PCA_TSNE|KMEANS|18|0.5830154676551177
0|PCA_TSNE|KMEANS|19|0.5600893254950896
0|PCA_TSNE|KMEANS|20|0.5645012618062651
0|PCA_TSNE|KMEANS|21|0.5488574255821194
0|PCA_TSNE|KMEANS|22|0.5588741392519895
0|PCA_TSNE|KMEANS|23|0.5551628232752216
0|PCA_TSNE|KMEANS|24|0.5466658101491709
0|PCA_TSNE|KMEANS|25|0.5510761256230515
0|PCA_TSNE|KMEANS|26|0.5422631683725205
0|PCA_TSNE|KMEANS|27|0.5192923013280657
0|PCA_TSNE|KMEANS|28|0.5367402990865808
0|PCA_TSNE|KMEANS|29|0.5317145084104379
0|PCA_TSNE|KMEANS|30|0.5364421658338872
0|PCA_TSNE|AGLO|2|0.3293655545940176
0|PCA_TSNE|AGLO|3|0.34666982546380387
0|PCA_TSNE|AGLO|4|0.42220669199800004
0|PCA_TSNE|AGLO|5|0.45193887465608085
0|PCA_TSNE|AGLO|6|0.48315050357574746
0|PCA_TSNE|AGLO|7|0.4813106717843317
0|PCA_TSNE|AGLO|8|0.5159159955206466
0|PCA_TSNE|AGLO|9|0.5224026074137311
0|PCA_TSNE|AGLO|10|0.5597087236885938
0|PCA_TSNE|AGLO|11|0.5670297502949531
0|PCA_TSNE|AGLO|12|0.576198583933513
0|PCA_TSNE|AGLO|13|0.5715106720810906
0|PCA_TSNE|AGLO|14|0.5773138389497333
0|PCA_TSNE|AGLO|15|0.5824464482389998
0|PCA_TSNE|AGLO|16|0.5908972033975701
0|PCA_TSNE|AGLO|17|0.5978343903512084
0|PCA_TSNE|AGLO|18|0.6083002931016894
0|PCA_TSNE|AGLO|19|0.5882431068580625
0|PCA_TSNE|AGLO|20|0.5617067861161329
0|PCA_TSNE|AGLO|21|0.5360976318587037
0|PCA_TSNE|AGLO|22|0.5457329507933855
0|PCA_TSNE|AGLO|23|0.5402306815996789
0|PCA_TSNE|AGLO|24|0.5295303613147943
0|PCA_TSNE|AGLO|25|0.5198526579088111
0|PCA_TSNE|AGLO|26|0.5198202038158544
0|PCA_TSNE|AGLO|27|0.5238728708897691
0|PCA_TSNE|AGLO|28|0.522059114003624
0|PCA_TSNE|AGLO|29|0.5012911920231337
0|PCA_TSNE|AGLO|30|0.5010689366805257
0|PCA_TSNE|GMIXT|2|0.36916917596716575
0|PCA_TSNE|GMIXT|3|0.3701997305005579
0|PCA_TSNE|GMIXT|4|0.40636864868056877
0|PCA_TSNE|GMIXT|5|0.37373335807768227
0|PCA_TSNE|GMIXT|6|0.36998313800261257
0|PCA_TSNE|GMIXT|7|0.44211324080934844
0|PCA_TSNE|GMIXT|8|0.5164220115409728
0|PCA_TSNE|GMIXT|9|0.5291727079574438
0|PCA_TSNE|GMIXT|10|0.5635871132523151
0|PCA_TSNE|GMIXT|11|0.5694011743602013
0|PCA_TSNE|GMIXT|12|0.5786936650373115
0|PCA_TSNE|GMIXT|13|0.5483295008857036
0|PCA_TSNE|GMIXT|14|0.5426528684555191
0|PCA_TSNE|GMIXT|15|0.5182279862833413
0|PCA_TSNE|GMIXT|16|0.5293218704615061
0|PCA_TSNE|GMIXT|17|0.5114640586232274
0|PCA_TSNE|GMIXT|18|0.5110658629573003
0|PCA_TSNE|GMIXT|19|0.4912587895181685
0|PCA_TSNE|GMIXT|20|0.5009843501981651
0|PCA_TSNE|GMIXT|21|0.5975461723501985
0|PCA_TSNE|GMIXT|22|0.5725625200986512
0|PCA_TSNE|GMIXT|23|0.5524869426386527
0|PCA_TSNE|GMIXT|24|0.5434539173497129
0|PCA_TSNE|GMIXT|25|0.5471677096231501
0|PCA_TSNE|GMIXT|26|0.5384480446955561
0|PCA_TSNE|GMIXT|27|0.531940948699854
0|PCA_TSNE|GMIXT|28|0.5303831866687689
0|PCA_TSNE|GMIXT|29|0.5282462963664095
0|PCA_TSNE|GMIXT|30|0.5083965385420947
